# BUSCO version is: 5.8.2 
# The lineage dataset is: enterococcus_odb12 (Creation date: 2025-05-14, number of genomes: 59, number of BUSCOs: 983)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
7610at1350	Complete	tig00000001	648561	647770	-	522.5	261
7677at1350	Complete	tig00000001	1498406	1499203	+	545.7	263
7733at1350	Complete	tig00000001	1475563	1474877	-	490.1	222
7785at1350	Complete	tig00000001	833142	832180	-	562.9	317
7842at1350	Complete	tig00000001	1473037	1473855	+	544.1	268
7856at1350	Complete	tig00000001	499098	498265	-	513.0	267
8193at1350	Complete	tig00000001	2046816	2047643	+	549.3	269
8271at1350	Complete	tig00000001	585238	584567	-	450.6	224
8314at1350	Complete	tig00000001	599147	598464	-	451.0	223
8319at1350	Missing
8577at1350	Complete	tig00000001	865381	864839	-	360.6	179
8748at1350	Complete	tig00000001	1181971	1180517	-	588.0	432
8931at1350	Complete	tig00000001	681033	680353	-	401.7	221
9044at1350	Complete	tig00000001	1059142	1058480	-	442.8	214
9080at1350	Complete	tig00000001	656906	656139	-	439.3	253
9100at1350	Complete	tig00000001	1477132	1476449	-	421.3	222
9192at1350	Complete	tig00000001	1402841	1403530	+	504.0	229
9243at1350	Complete	tig00000001	2156259	2155612	-	423.9	215
9623at1350	Complete	tig00000001	2532954	2533847	+	555.4	293
9626at1350	Complete	tig00000001	858376	857768	-	425.9	201
9768at1350	Complete	tig00000001	1649918	1648974	-	492.9	306
9919at1350	Complete	tig00000001	466067	465390	-	430.6	214
10042at1350	Complete	tig00000001	1067955	1065235	-	1019.5	835
10082at1350	Complete	tig00000001	646043	646681	+	388.9	206
10086at1350	Complete	tig00000001	2122997	2123800	+	532.3	267
10119at1350	Complete	tig00000001	2089748	2090392	+	418.6	214
10183at1350	Complete	tig00000001	424817	424188	-	421.6	207
10292at1350	Complete	tig00000001	2044095	2043106	-	497.8	320
10394at1350	Complete	tig00000001	2306765	2307325	+	335.5	183
10425at1350	Complete	tig00000001	92955	93497	+	281.8	181
10444at1350	Complete	tig00000001	1488211	1488750	+	399.0	179
10501at1350	Complete	tig00000001	662356	661460	-	472.9	289
10529at1350	Complete	tig00000001	1199339	1198701	-	359.7	212
10577at1350	Complete	tig00000001	689600	688989	-	338.1	195
10690at1350	Complete	tig00000001	2042375	2041824	-	335.3	179
11095at1350	Complete	tig00000001	435639	435100	-	341.5	177
11126at1350	Complete	tig00000001	163609	163088	-	269.4	170
11129at1350	Complete	tig00000001	1005576	1005073	-	350.9	167
11163at1350	Complete	tig00000001	466772	466074	-	358.4	233
11246at1350	Complete	tig00000001	255703	255032	-	334.7	209
11308at1350	Complete	tig00000001	1490494	1490994	+	353.6	165
11328at1350	Complete	tig00000001	1898149	1898712	+	338.2	185
12076at1350	Complete	tig00000001	235404	235889	+	316.3	148
12247at1350	Complete	tig00000001	1466346	1466744	+	265.8	129
12391at1350	Complete	tig00000001	1477451	1477864	+	310.0	137
12582at1350	Complete	tig00000001	491002	491763	+	425.1	242
12678at1350	Complete	tig00000001	2646255	2646695	+	243.6	144
12722at1350	Complete	tig00000001	437246	436782	-	257.8	152
12767at1350	Complete	tig00000001	242020	243393	+	609.6	460
13299at1350	Complete	tig00000001	1039540	1039094	-	264.1	147
13403at1350	Complete	tig00000001	1018915	1018517	-	289.2	132
13483at1350	Complete	tig00000001	2374377	2374937	+	271.9	165
13490at1350	Complete	tig00000001	1511616	1511978	+	246.0	120
13526at1350	Complete	tig00000001	2084316	2083519	-	424.8	259
13534at1350	Complete	tig00000001	1909795	1910139	+	221.4	113
13616at1350	Complete	tig00000001	1666622	1666942	+	203.1	103
13628at1350	Complete	tig00000001	93504	93968	+	197.4	151
13655at1350	Complete	tig00000001	2023028	2022513	-	315.8	162
13735at1350	Complete	tig00000001	527678	527334	-	213.0	113
13742at1350	Complete	tig00000001	547189	546743	-	209.8	141
13997at1350	Complete	tig00000001	1054335	1053841	-	138.3	130
14302at1350	Complete	tig00000001	1494645	1495034	+	285.9	129
14325at1350	Complete	tig00000001	191998	192303	+	200.0	101
14388at1350	Complete	tig00000001	1206666	1206175	-	299.9	163
14422at1350	Complete	tig00000001	691221	690652	-	309.7	187
14632at1350	Complete	tig00000001	229298	230029	+	430.4	238
14868at1350	Complete	tig00000001	1062704	1063048	+	171.9	112
14932at1350	Complete	tig00000001	2506577	2506855	+	170.0	90
15052at1350	Complete	tig00000001	1487875	1488183	+	197.2	103
15301at1350	Complete	tig00000001	1493867	1494085	+	176.7	72
15393at1350	Complete	tig00000001	543951	543334	-	195.6	145
15547at1350	Complete	tig00000001	1517037	1517279	+	162.2	79
15646at1350	Complete	tig00000001	2422795	2423100	+	202.5	100
15847at1350	Complete	tig00000001	1511346	1511158	-	153.6	62
16015at1350	Complete	tig00000001	2275314	2275072	-	142.9	78
16038at1350	Complete	tig00000001	811332	811153	-	134.2	58
16140at1350	Complete	tig00000001	850252	849719	-	399.5	177
16160at1350	Complete	tig00000001	84169	84381	+	146.7	67
16163at1350	Complete	tig00000001	1488769	1488954	+	159.0	61
16169at1350	Complete	tig00000001	2348094	2348429	+	178.4	111
16176at1350	Complete	tig00000001	638057	637296	-	509.5	250
16182at1350	Complete	tig00000001	670939	670484	-	310.0	150
16194at1350	Complete	tig00000001	228288	229229	+	626.9	310
16202at1350	Complete	tig00000001	1494118	1494234	+	104.4	38
16208at1350	Complete	tig00000001	2075624	2075887	+	203.0	87
16235at1350	Complete	tig00000001	2027998	2027465	-	360.8	177
16239at1350	Complete	tig00000001	665698	664751	-	492.2	268
16254at1350	Complete	tig00000001	1551884	1552105	+	150.0	73
16268at1350	Complete	tig00000001	1628376	1629521	+	843.6	380
16281at1350	Complete	tig00000001	2267928	2268524	+	417.0	192
16282at1350	Complete	tig00000001	1212183	1211965	-	158.5	71
16291at1350	Complete	tig00000001	1485188	1485466	+	208.8	92
16304at1350	Complete	tig00000001	2621916	2622419	+	338.7	163
16315at1350	Complete	tig00000001	993219	993067	-	123.8	50
16318at1350	Complete	tig00000001	2630426	2630626	+	158.6	66
16324at1350	Complete	tig00000001	2067493	2068833	+	997.9	444
16346at1350	Complete	tig00000001	1347520	1347077	-	326.7	147
16368at1350	Complete	tig00000001	2098219	2096030	-	1600.6	729
16375at1350	Complete	tig00000001	601169	600609	-	283.9	169
16403at1350	Complete	tig00000001	1493029	1493676	+	454.4	214
16463at1350	Complete	tig00000001	1391980	1390730	-	918.9	411
16466at1350	Complete	tig00000001	2422076	2422342	+	191.3	88
16470at1350	Complete	tig00000001	612459	611311	-	819.4	382
16490at1350	Complete	tig00000001	1214119	1214892	+	423.3	252
16513at1350	Complete	tig00000001	1382528	1382112	-	212.5	132
16520at1350	Complete	tig00000001	458184	457018	-	839.2	384
16535at1350	Complete	tig00000001	1935747	1937138	+	1043.6	463
16545at1350	Complete	tig00000001	957588	956779	-	553.3	266
16557at1350	Complete	tig00000001	2494538	2495539	+	751.1	330
16567at1350	Complete	tig00000001	2486908	2485541	-	949.0	453
16595at1350	Complete	tig00000001	2274304	2274933	+	463.5	209
16610at1350	Complete	tig00000001	2635387	2636685	+	980.1	432
16621at1350	Complete	tig00000001	660209	659982	-	126.6	72
16631at1350	Complete	tig00000001	2524692	2524979	+	191.9	92
16633at1350	Complete	tig00000001	2496943	2497698	+	547.2	251
16637at1350	Complete	tig00000001	1485850	1486506	+	489.2	218
16651at1350	Complete	tig00000001	1028813	1028190	-	408.3	207
16665at1350	Complete	tig00000001	1149502	1147088	-	1778.8	803
16677at1350	Complete	tig00000001	1486509	1486943	+	323.8	144
16693at1350	Complete	tig00000001	2532284	2532970	+	503.1	228
16696at1350	Complete	tig00000001	822768	822118	-	380.1	197
16720at1350	Complete	tig00000001	1429335	1429634	+	202.7	98
16729at1350	Complete	tig00000001	2462219	2462533	+	209.7	104
16732at1350	Complete	tig00000001	2106185	2107267	+	773.0	359
16738at1350	Complete	tig00000001	2538575	2539381	+	577.8	265
16743at1350	Complete	tig00000001	1484312	1485145	+	627.2	276
16754at1350	Complete	tig00000001	1603431	1604507	+	726.6	345
16764at1350	Complete	tig00000001	502146	501409	-	475.5	243
16765at1350	Complete	tig00000001	144200	143463	-	526.2	245
16778at1350	Complete	tig00000001	1034927	1033158	-	1241.0	588
16780at1350	Complete	tig00000001	1489420	1489956	+	379.4	178
16795at1350	Complete	tig00000001	2575141	2576067	+	638.3	306
16796at1350	Complete	tig00000001	1477948	1478418	+	350.7	156
16832at1350	Complete	tig00000001	1558094	1558891	+	556.7	264
16841at1350	Complete	tig00000001	2539397	2540155	+	546.1	251
16850at1350	Complete	tig00000001	2686286	2686561	+	201.1	90
16867at1350	Complete	tig00000001	433790	432864	-	659.8	307
16872at1350	Complete	tig00000001	824214	823105	-	785.7	369
16875at1350	Complete	tig00000001	647688	646813	-	521.0	289
16876at1350	Complete	tig00000001	899170	898304	-	614.8	287
16881at1350	Complete	tig00000001	2381003	2383648	+	1967.3	878
16886at1350	Complete	tig00000001	2271826	2273070	+	869.1	412
16889at1350	Complete	tig00000001	2093938	2095059	+	779.1	371
16891at1350	Complete	tig00000001	1180517	1179972	-	367.0	181
16907at1350	Complete	tig00000001	2589207	2590124	+	690.7	297
16921at1350	Complete	tig00000001	1221119	1220439	-	481.9	226
16922at1350	Complete	tig00000001	479249	478737	-	366.4	170
16923at1350	Complete	tig00000001	1247684	1247157	-	305.8	165
16933at1350	Complete	tig00000001	2029614	2028862	-	489.2	250
16944at1350	Complete	tig00000001	974072	976231	+	1583.8	719
16949at1350	Complete	tig00000001	2067073	2067465	+	242.4	122
16956at1350	Complete	tig00000001	1918948	1919325	+	210.9	119
16964at1350	Complete	tig00000001	1623004	1624035	+	748.4	343
16977at1350	Complete	tig00000001	1440146	1438524	-	1203.5	539
17002at1350	Complete	tig00000001	1420421	1421755	+	880.1	438
17004at1350	Complete	tig00000001	105534	106316	+	581.7	260
17008at1350	Complete	tig00000001	1065251	1064307	-	660.6	313
17020at1350	Complete	tig00000001	1240639	1240244	-	256.2	130
17022at1350	Complete	tig00000001	1488990	1489388	+	288.6	132
17026at1350	Complete	tig00000001	1482703	1483332	+	466.4	209
17035at1350	Complete	tig00000001	1891753	1892427	+	465.4	223
17046at1350	Complete	tig00000001	2157693	2158706	+	622.2	332
17054at1350	Complete	tig00000001	1216687	1215716	-	723.1	322
17055at1350	Complete	tig00000001	663356	662514	-	543.3	280
17059at1350	Complete	tig00000001	993381	994025	+	416.4	211
17061at1350	Complete	tig00000001	980451	979750	-	468.7	233
17064at1350	Complete	tig00000001	492538	493293	+	496.8	250
17069at1350	Complete	tig00000001	1210266	1209652	-	438.4	204
17070at1350	Complete	tig00000001	2686033	2685479	-	320.4	179
17071at1350	Complete	tig00000001	1482364	1482672	+	231.2	102
17085at1350	Complete	tig00000001	120132	120425	+	198.9	97
17089at1350	Complete	tig00000001	2117656	2117949	+	205.6	94
17093at1350	Complete	tig00000001	2689318	2689665	+	251.3	115
17097at1350	Complete	tig00000001	2497814	2499112	+	956.9	431
17121at1350	Complete	tig00000001	1463159	1464175	+	659.6	336
17157at1350	Complete	tig00000001	562650	561673	-	722.8	325
17167at1350	Complete	tig00000001	693249	692362	-	579.5	295
17171at1350	Complete	tig00000001	551743	548315	-	2457.5	1140
17173at1350	Complete	tig00000001	2527645	2528196	+	387.2	181
17189at1350	Complete	tig00000001	153181	154065	+	617.3	294
17205at1350	Complete	tig00000001	2510449	2510913	+	316.7	152
17213at1350	Complete	tig00000001	1244363	1242903	-	1059.2	485
17223at1350	Complete	tig00000001	1238087	1237842	-	176.9	80
17233at1350	Complete	tig00000001	431560	430484	-	778.1	357
17241at1350	Complete	tig00000001	1347061	1346669	-	289.2	130
17244at1350	Complete	tig00000001	1219475	1218657	-	580.7	272
17261at1350	Complete	tig00000001	1499406	1500152	+	516.9	248
17265at1350	Complete	tig00000001	2370553	2371290	+	440.6	241
17270at1350	Complete	tig00000001	2586114	2586575	+	302.7	152
17278at1350	Complete	tig00000001	2487885	2488322	+	244.1	144
17281at1350	Complete	tig00000001	588330	587035	-	956.6	431
17284at1350	Complete	tig00000001	1513829	1515865	+	1380.0	675
17300at1350	Complete	tig00000001	794274	793312	-	703.7	320
17307at1350	Complete	tig00000001	1555117	1554506	-	448.7	201
17314at1350	Complete	tig00000001	532804	533508	+	436.8	231
17342at1350	Complete	tig00000001	582359	580920	-	1016.6	479
17347at1350	Complete	tig00000001	1164222	1163029	-	841.6	394
17348at1350	Complete	tig00000001	818918	818199	-	500.2	239
17357at1350	Complete	tig00000001	2682408	2682746	+	209.7	112
17358at1350	Complete	tig00000001	93965	94981	+	694.8	336
17365at1350	Complete	tig00000001	78009	78158	+	125.8	49
17370at1350	Complete	tig00000001	471428	470982	-	286.4	144
17376at1350	Complete	tig00000001	100573	102264	+	1167.8	562
17380at1350	Complete	tig00000001	1583258	1582695	-	381.7	186
17381at1350	Complete	tig00000001	2523154	2523861	+	471.4	234
17382at1350	Complete	tig00000001	840388	838661	-	1260.4	575
17386at1350	Complete	tig00000001	1396099	1395632	-	284.3	151
17397at1350	Complete	tig00000001	2513369	2514925	+	1143.4	518
17409at1350	Complete	tig00000001	2512804	2513346	+	302.2	180
17415at1350	Complete	tig00000001	193772	195202	+	1070.9	476
17419at1350	Complete	tig00000001	1242581	1242045	-	352.0	176
17426at1350	Complete	tig00000001	2300618	2299797	-	557.9	271
17449at1350	Complete	tig00000001	1247094	1245724	-	995.2	456
17457at1350	Complete	tig00000001	1062277	1062711	+	275.6	140
17460at1350	Complete	tig00000001	123079	123426	+	224.4	115
17463at1350	Missing
17488at1350	Complete	tig00000001	1831761	1832324	+	401.7	186
17489at1350	Complete	tig00000001	147967	150783	+	2072.0	938
17500at1350	Complete	tig00000001	2155597	2154071	-	1024.7	501
17514at1350	Complete	tig00000001	1369015	1365362	-	2810.5	1215
17515at1350	Complete	tig00000001	17756	19102	+	972.1	447
17521at1350	Complete	tig00000001	2553552	2554553	+	719.0	333
17540at1350	Complete	tig00000001	826565	825696	-	588.8	285
17541at1350	Complete	tig00000001	1437532	1438395	+	500.9	287
17559at1350	Complete	tig00000001	1203873	1203133	-	432.1	244
17563at1350	Complete	tig00000001	1556913	1557686	+	453.6	258
17568at1350	Complete	tig00000001	1932767	1934053	+	821.1	419
17581at1350	Complete	tig00000001	1583509	1583778	+	194.5	89
17588at1350	Complete	tig00000001	1899732	1900277	+	336.8	180
17604at1350	Complete	tig00000001	1175551	1174055	-	1082.9	496
17635at1350	Complete	tig00000001	2296477	2297547	+	700.2	346
17665at1350	Complete	tig00000001	257430	256210	-	823.9	405
17670at1350	Complete	tig00000001	1567705	1568151	+	278.5	141
17682at1350	Complete	tig00000001	1491232	1491672	+	310.9	146
17689at1350	Complete	tig00000001	650541	649993	-	389.1	181
17699at1350	Complete	tig00000001	2464638	2465537	+	602.9	296
17704at1350	Complete	tig00000001	113936	118294	+	3105.9	1450
17725at1350	Complete	tig00000001	425540	424824	-	435.0	234
17727at1350	Complete	tig00000001	2071928	2072797	+	622.9	288
17737at1350	Complete	tig00000001	1462050	1461127	-	628.6	306
17744at1350	Complete	tig00000001	2343026	2343364	+	213.0	110
17745at1350	Complete	tig00000001	2136779	2137738	+	647.9	313
17750at1350	Complete	tig00000001	2024882	2025862	+	693.9	325
17760at1350	Complete	tig00000001	793238	791454	-	1199.1	585
17764at1350	Complete	tig00000001	2030720	2031655	+	582.1	298
17765at1350	Complete	tig00000001	1059994	1059212	-	500.3	258
17767at1350	Complete	tig00000001	1487146	1487412	+	189.0	87
17780at1350	Complete	tig00000001	835150	834920	-	164.4	75
17789at1350	Complete	tig00000001	864811	864518	-	163.9	96
17796at1350	Complete	tig00000001	1421953	1423083	+	762.3	375
17800at1350	Complete	tig00000001	1018185	1017532	-	325.9	212
17823at1350	Complete	tig00000001	2484093	2483722	-	257.4	122
17828at1350	Complete	tig00000001	953623	953339	-	182.3	94
17832at1350	Complete	tig00000001	643259	640809	-	1652.8	810
17842at1350	Complete	tig00000001	496281	495781	-	267.7	155
17845at1350	Complete	tig00000001	2517284	2517706	+	274.2	140
17848at1350	Complete	tig00000001	546759	546421	-	185.8	106
17851at1350	Complete	tig00000001	501395	500580	-	467.9	272
17863at1350	Complete	tig00000001	2579325	2578465	-	561.8	280
17866at1350	Complete	tig00000001	904694	905134	+	282.5	145
17871at1350	Complete	tig00000001	2686573	2686824	+	164.8	81
17878at1350	Complete	tig00000001	846042	844462	-	1166.5	524
17898at1350	Complete	tig00000001	1490117	1490473	+	252.6	118
17907at1350	Complete	tig00000001	690646	689930	-	469.4	238
17919at1350	Complete	tig00000001	553237	552935	-	164.6	99
17922at1350	Complete	tig00000001	145963	147957	+	1421.0	661
17923at1350	Complete	tig00000001	843515	843835	+	165.9	99
17926at1350	Complete	tig00000001	1041764	1039551	-	1586.9	734
17938at1350	Complete	tig00000001	2520127	2520423	+	175.6	87
17948at1350	Complete	tig00000001	2215172	2216644	+	1057.8	488
17952at1350	Complete	tig00000001	2688421	2689182	+	520.7	244
17971at1350	Complete	tig00000001	2576281	2578008	+	1177.2	574
17977at1350	Fragmented	tig00000001	626926	626234	-	439.6	224
17999at1350	Complete	tig00000001	1408323	1406839	-	1101.7	493
18001at1350	Complete	tig00000001	2394665	2394072	-	435.1	195
18005at1350	Complete	tig00000001	2136327	2136758	+	296.1	143
18015at1350	Complete	tig00000001	1062139	1061402	-	484.2	244
18021at1350	Complete	tig00000001	592255	591674	-	390.0	192
18031at1350	Complete	tig00000001	2024049	2024729	+	452.8	225
18032at1350	Complete	tig00000001	239381	240217	+	506.8	274
18034at1350	Missing
18047at1350	Complete	tig00000001	1010552	1009755	-	515.4	265
18059at1350	Complete	tig00000001	1646909	1645845	-	598.4	345
18070at1350	Complete	tig00000001	178175	179425	+	885.5	415
18071at1350	Complete	tig00000001	1473872	1474579	+	485.1	233
18078at1350	Complete	tig00000001	1494252	1494617	+	258.7	121
18103at1350	Complete	tig00000001	1011234	1010530	-	453.4	219
18111at1350	Complete	tig00000001	824738	824211	-	324.1	174
18114at1350	Complete	tig00000001	1496080	1496460	+	273.2	126
18120at1350	Complete	tig00000001	1652837	1653361	+	358.4	166
18141at1350	Complete	tig00000001	585494	585240	-	159.9	82
18147at1350	Complete	tig00000001	1491009	1491188	+	141.0	59
18152at1350	Complete	tig00000001	830867	830130	-	461.2	242
18154at1350	Complete	tig00000001	858931	858461	-	197.8	130
18156at1350	Complete	tig00000001	2282225	2282860	+	387.9	209
18168at1350	Complete	tig00000001	684235	684456	+	128.9	68
18169at1350	Complete	tig00000001	866275	865643	-	435.8	209
18171at1350	Complete	tig00000001	1200902	1200003	-	537.6	288
18183at1350	Complete	tig00000001	1969075	1969401	+	165.8	94
18186at1350	Complete	tig00000001	566888	565911	-	727.3	325
18194at1350	Complete	tig00000001	2108140	2108880	+	470.8	245
18196at1350	Complete	tig00000001	1653433	1653633	+	148.7	66
18212at1350	Complete	tig00000001	1231295	1230054	-	735.4	411
18214at1350	Complete	tig00000001	1569966	1570544	+	308.1	186
18217at1350	Complete	tig00000001	2160046	2162748	+	1626.3	883
18248at1350	Complete	tig00000001	1189431	1190405	+	696.1	324
18250at1350	Complete	tig00000001	1006772	1007413	+	403.7	210
18276at1350	Complete	tig00000001	1189078	1188518	-	356.8	186
18284at1350	Complete	tig00000001	868077	867346	-	406.8	241
18294at1350	Complete	tig00000001	970456	969812	-	376.6	208
18321at1350	Complete	tig00000001	1188501	1184980	-	2352.6	1167
18326at1350	Complete	tig00000001	2422339	2422770	+	293.0	142
18347at1350	Complete	tig00000001	790331	789762	-	292.0	179
18358at1350	Complete	tig00000001	1223170	1222325	-	541.8	280
18360at1350	Complete	tig00000001	2388944	2387265	-	1234.7	558
18372at1350	Complete	tig00000001	2586559	2586954	+	231.8	128
18377at1350	Complete	tig00000001	1899028	1899720	+	447.9	230
18384at1350	Complete	tig00000001	154062	155060	+	691.7	330
18395at1350	Complete	tig00000001	1044985	1046271	+	895.8	423
18401at1350	Complete	tig00000001	2578080	2578373	+	165.7	94
18408at1350	Complete	tig00000001	1485489	1485836	+	250.7	115
18416at1350	Complete	tig00000001	436785	435874	-	599.2	300
18426at1350	Complete	tig00000001	257577	259412	+	1363.3	611
18428at1350	Complete	tig00000001	1525174	1525860	+	464.1	227
18433at1350	Complete	tig00000001	542622	542083	-	318.1	154
18435at1350	Complete	tig00000001	206557	207579	+	682.0	339
18451at1350	Complete	tig00000001	1661290	1662708	+	926.3	469
18454at1350	Complete	tig00000001	906135	907367	+	833.7	409
18472at1350	Complete	tig00000001	2352413	2353177	+	491.7	252
18475at1350	Complete	tig00000001	2149452	2150234	+	509.7	260
18477at1350	Complete	tig00000001	2089088	2089684	+	437.8	198
18478at1350	Complete	tig00000001	1670148	1670627	+	308.6	158
18481at1350	Complete	tig00000001	1016132	1014324	-	1216.6	601
18483at1350	Complete	tig00000001	1051599	1050415	-	804.3	393
18493at1350	Complete	tig00000001	789355	787934	-	1043.7	471
18503at1350	Complete	tig00000001	2462715	2464493	+	1251.0	591
18507at1350	Complete	tig00000001	2354377	2353868	-	323.2	165
18513at1350	Complete	tig00000001	1239387	1238857	-	346.9	174
18523at1350	Complete	tig00000001	107432	108154	+	526.4	238
18525at1350	Complete	tig00000001	83450	84148	+	366.5	232
18543at1350	Complete	tig00000001	1468104	1469666	+	1065.2	518
18546at1350	Complete	tig00000001	2260521	2259823	-	455.5	224
18555at1350	Complete	tig00000001	2070026	2071636	+	1209.2	534
18575at1350	Complete	tig00000001	1735853	1735593	-	156.1	84
18576at1350	Complete	tig00000001	2368174	2369502	+	863.5	442
18580at1350	Complete	tig00000001	179508	180095	+	416.0	193
18585at1350	Complete	tig00000001	1828470	1828000	-	255.9	156
18586at1350	Complete	tig00000001	106415	107296	+	616.1	293
18593at1350	Complete	tig00000001	1372711	1369094	-	2760.3	1194
18609at1350	Complete	tig00000001	187605	189839	+	1512.0	746
18611at1350	Complete	tig00000001	1028942	1029676	+	464.0	244
18612at1350	Complete	tig00000001	2474948	2476729	+	1254.8	592
18632at1350	Complete	tig00000001	2248870	2249820	+	648.9	315
18656at1350	Complete	tig00000001	2131344	2132162	+	505.4	268
18664at1350	Complete	tig00000001	2261866	2260514	-	941.3	443
18671at1350	Complete	tig00000001	1023724	1020530	-	1838.5	1047
18697at1350	Complete	tig00000001	1348506	1348039	-	323.1	155
18717at1350	Complete	tig00000001	232373	232855	+	242.8	148
18722at1350	Complete	tig00000001	2473639	2474625	+	539.5	325
18725at1350	Complete	tig00000001	840654	840388	-	195.1	88
18730at1350	Complete	tig00000001	1666972	1667439	+	262.0	148
18740at1350	Complete	tig00000001	2682767	2684185	+	1029.8	472
18742at1350	Complete	tig00000001	1620080	1619409	-	439.5	218
18745at1350	Complete	tig00000001	2095715	2095113	-	404.3	198
18760at1350	Complete	tig00000001	1897921	1897259	-	314.7	177
18766at1350	Complete	tig00000001	832127	831903	-	148.4	74
18773at1350	Complete	tig00000001	1046972	1047451	+	305.6	156
